id,value
Apple,
Apple.battery,
Apple.battery.good,1
Apple.battery.quality,1
Apple.battery.issues,1
Apple.battery.perfect,1
Apple.battery.use,1
Apple.battery.%,1
Apple.battery.consumption,1
Apple.battery.doesn`t,1
Apple.battery.charge,1
Apple.battery.performs,1
Apple.battery.horrible,1
Apple.battery.new,1
Apple.battery.poor,1
Apple.battery.life,1
Apple.battery.full,1
Apple.battery.run,1
Apple.battery.normal,1
Apple.battery.wo,1
Apple.battery.problems,1
Apple.battery.failure,1
Apple.battery.lasts,1
Apple.battery.performance,1
Apple.battery.discharge,1
Apple.battery.minute,1
Apple.battery.wise,1
Apple.battery.i,1
Apple.battery.cells,1
Apple.battery.solid,1
Apple.battery.bad,1
Apple.battery.doesnt,1
Apple.screen,
Apple.screen.main,1
Apple.screen.froze,1
Apple.screen.default,1
Apple.screen.welcome,1
Apple.screen.loose,1
Apple.screen.narrow,1
Apple.screen.micas,1
Apple.screen.protector,1
Apple.screen.shows,1
Apple.wifi,
Apple.wifi.available,1
Apple.wifi.network,1
Apple.wifi.antenna,1
Apple.wifi.source,1
Apple.wifi.button,1
Apple.wifi.free,1
Apple.wifi.signals,1
Apple.wifi.failure,1
Apple.wifi.bad,1
Apple.wifi.setting,1
Apple.wifi.tab,1
Apple.wifi.doesnt,1
Apple.wifi.router,1
Apple.wifi.couldnt,1
Apple.wifi.icon,1
Apple.size,
Apple.size.regular,1
Apple.memory,
Apple.memory.16gb,1
Apple.memory.card,1
Apple.quality,
Apple.quality.poor,1
Apple.quality.sound,1
Apple.quality.great,1
Apple.quality.good,1
Apple.quality.overall,1
Apple.quality.product,1
Apple.quality.parts,1
Apple.price,
Apple.price.current,1
Apple.price.extraordinary,1
Apple.price.great,1
Apple.price.good,1
Apple.power,
Apple.power.brick,1
