id,value
Nokia,
Nokia.camera,
Nokia.camera.great,1
Nokia.camera.good,1
Nokia.camera.awesome,1
Nokia.camera.powerful,1
Nokia.camera.performance,1
Nokia.camera.quality,1
Nokia.camera.smart,1
Nokia.battery,
Nokia.battery.performance,1
Nokia.battery.great,1
Nokia.screen,
Nokia.screen.big,1
Nokia.screen.amazing,1
Nokia.screen.good,1
Nokia.screen.great,1
Nokia.screen.nice,1
Nokia.size,
Nokia.size.perfect,1
Nokia.size.good,1
Nokia.size.nice,1
Nokia.software,
Nokia.software.problems,1
Nokia.software.nice,1
Nokia.memory,
Nokia.memory.good,1
Nokia.quality,
Nokia.quality.poor,1
Nokia.quality.bad,1
Nokia.quality.good,1
Nokia.quality.excellent,1
Nokia.price,
Nokia.price.great,1
Nokia.price.good,1
Nokia.power,
Nokia.power.great,1
