id,value
Sprint,
Sprint.screen,
Sprint.battery,
Sprint.price,
Sprint.camera,
Sprint.quality,
Sprint.software,
Sprint.wifi,
Sprint.memory,
Sprint.video,
Sprint.power,
Sprint.size,
Sprint.camera.great,1
Sprint.camera.good,1
Sprint.camera.powerful,1
Sprint.camera.awesome,1
Sprint.camera.smart,1
Sprint.battery.great,1
Sprint.screen.big,1
Sprint.screen.amazing,1
Sprint.screen.good,1
Sprint.screen.great,1
Sprint.screen.nice,1
Sprint.size.good,1
Sprint.size.nice,1
Sprint.software.nice,1
Sprint.memory.good,1
Sprint.quality.bad,1
Sprint.quality.good,1
Sprint.quality.excellent,1
Sprint.price.great,1
Sprint.price.good,1
Sprint.power.great,1
