id,value
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.screen,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.battery,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.price,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.camera,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.quality,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.software,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.wifi,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.memory,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.video,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.power,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.size,
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.camera.great,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.camera.good,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.camera.powerful,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.camera.awesome,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.camera.smart,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.battery.great,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.screen.big,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.screen.amazing,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.screen.good,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.screen.great,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.screen.nice,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.size.good,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.size.nice,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.software.nice,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.memory.good,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.quality.bad,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.quality.good,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.quality.excellent,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.price.great,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.price.good,1
Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red.power.great,1
